,index,Asignado,Rechazado,Country
0,ESP,8689,1923,España
1,FRA,4034,650,Francia
2,CAN,3615,598,Canada
3,DEU,3279,431,Alemania
4,MEX,2908,206,México
5,USA,2162,733,Estados Unidos
6,CZE,2122,310,República Checa
7,ITA,1849,374,Italia
8,GBR,1430,172,Inglaterra
9,AUS,1185,386,Austria
10,CHN,901,347,China
11,CHL,714,276,Chile
12,KOR,648,182,Corea del Sur
13,COL,646,99,Colombia
14,CHE,536,108,Suezia
15,ARG,535,183,Argentina
16,NLD,425,86,Netherlands
17,SWE,397,99,Suecia
18,SVK,355,86,Slovakia
19,JPN,343,36,Japon
20,BEL,327,109,Belgica
21,FIN,299,89,Finlandia
22,DNK,271,41,Denmark
23,POL,235,51,Poland
24,HUN,221,129,Hungary
25,AUT,159,44,Austria
26,HRV,129,19,HRV
27,RUS,102,16,Rusia
28,TWN,101,64,TWN
29,SVN,94,6,SVN
30,PRT,88,23,Portugal
31,SGP,86,39,SGP
32,URY,86,50,Uruguay
33,NOR,73,13,NOR
34,BRA,66,28,Brasil
35,ARE,66,15,United Arab Emirates
36,LVA,61,18,LVA
37,TUR,50,34,TUR
38,SRB,45,26,SRB
39,NZL,42,25,New Zealand
40,CZE,36,1,República Checa
41,ISR,29,5,ISR
42,IRL,24,2,Ireland
43,CUB,22,3,Cuba
44,CRI,16,1,CRI
45,PAN,14,8,Panama
46,PER,13,1,Peru
47,PRI,8,1,PRI
48,LTU,6,1,LTU
49,SCO,6,4,SCO
50,DOM,4,3,Dominican Republic
51,ISL,4,2,Iceland
52,IND,4,3,India
53,MYS,2,1,Malaysa
